date,name,relative_popularity,nationality,page_views,edits
2016-01-31,B. R. Ambedkar,5.0,IN-MH,200857,34
2016-02-29,B. R. Ambedkar,5.75,IN-MH,151134,36
2016-03-31,B. R. Ambedkar,5.25,IN-MH,152260,26
2016-04-30,B. R. Ambedkar,15.75,IN-MH,623984,48
2016-05-31,B. R. Ambedkar,5.2,IN-MH,157790,48
2016-06-30,B. R. Ambedkar,5.5,IN-MH,168862,44
2016-07-31,B. R. Ambedkar,6.6,IN-MH,181598,31
2016-08-31,B. R. Ambedkar,9.25,IN-MH,197764,72
2016-09-30,B. R. Ambedkar,7.25,IN-MH,156914,47
2016-10-31,B. R. Ambedkar,5.0,IN-MH,167674,36
2016-11-30,B. R. Ambedkar,8.0,IN-MH,186022,37
2016-12-31,B. R. Ambedkar,10.25,IN-MH,242226,34
2017-01-31,B. R. Ambedkar,6.6,IN-MH,220832,65
2017-02-28,B. R. Ambedkar,8.0,IN-MH,154908,38
2017-03-31,B. R. Ambedkar,8.5,IN-MH,135311,40
2017-04-30,B. R. Ambedkar,32.6,IN-MH,477236,28
2017-05-31,B. R. Ambedkar,9.0,IN-MH,152552,3
2017-06-30,B. R. Ambedkar,14.5,IN-MH,155417,29
2017-07-31,B. R. Ambedkar,25.4,IN-MH,182659,61
2017-08-31,B. R. Ambedkar,14.5,IN-MH,199383,93
2017-09-30,B. R. Ambedkar,13.0,IN-MH,173817,37
2017-10-31,B. R. Ambedkar,12.2,IN-MH,171324,35
2017-11-30,B. R. Ambedkar,13.5,IN-MH,223161,20
2017-12-31,B. R. Ambedkar,19.2,IN-MH,256892,11
2018-01-31,B. R. Ambedkar,14.0,IN-MH,274545,2
2018-02-28,B. R. Ambedkar,15.75,IN-MH,148540,18
2018-03-31,B. R. Ambedkar,15.0,IN-MH,215615,18
2018-04-30,B. R. Ambedkar,24.0,IN-MH,637265,34
2018-05-31,B. R. Ambedkar,13.0,IN-MH,173338,10
2018-06-30,B. R. Ambedkar,19.25,IN-MH,186752,7
2018-07-31,B. R. Ambedkar,15.8,IN-MH,214665,3
2018-08-31,B. R. Ambedkar,12.25,IN-MH,255171,24
2018-09-30,B. R. Ambedkar,10.2,IN-MH,230738,1
2018-10-31,B. R. Ambedkar,9.0,IN-MH,241336,31
2018-11-30,B. R. Ambedkar,13.0,IN-MH,210222,46
2018-12-31,B. R. Ambedkar,14.0,IN-MH,293595,45
2019-01-31,B. R. Ambedkar,10.75,IN-MH,261578,129
2019-02-28,B. R. Ambedkar,10.0,IN-MH,180235,22
2019-03-31,B. R. Ambedkar,13.4,IN-MH,160209,14
2019-04-30,B. R. Ambedkar,21.5,IN-MH,465460,27
2019-05-31,B. R. Ambedkar,10.5,IN-MH,198727,11
2019-06-30,B. R. Ambedkar,14.8,IN-MH,187210,8
2019-07-31,B. R. Ambedkar,18.0,IN-MH,204018,26
2019-08-31,B. R. Ambedkar,18.75,IN-MH,265611,73
2019-09-30,B. R. Ambedkar,15.6,IN-MH,232788,30
2019-10-31,B. R. Ambedkar,12.0,IN-MH,205519,13
2019-11-30,B. R. Ambedkar,12.25,IN-MH,259906,38
2019-12-31,B. R. Ambedkar,18.2,IN-MH,403551,46
2020-01-31,B. R. Ambedkar,17.25,IN-MH,351207,30
2020-02-29,B. R. Ambedkar,12.75,IN-MH,214412,19
2020-03-31,B. R. Ambedkar,9.4,IN-MH,170520,7
2020-04-30,B. R. Ambedkar,20.0,IN-MH,608561,27
2020-05-31,B. R. Ambedkar,8.0,IN-MH,198199,8
2020-06-30,B. R. Ambedkar,9.0,IN-MH,154968,9
2020-07-31,B. R. Ambedkar,12.0,IN-MH,224856,28
2020-08-31,B. R. Ambedkar,11.8,IN-MH,262319,27
2020-09-30,B. R. Ambedkar,16.0,IN-MH,314821,21
2020-10-31,B. R. Ambedkar,13.0,IN-MH,334726,9
2020-11-30,B. R. Ambedkar,11.6,IN-MH,217230,27
2020-12-31,B. R. Ambedkar,13.75,IN-MH,283063,27
2016-01-31,Rajinikanth,14.0,IN-KA,175211,102
2016-02-29,Rajinikanth,13.75,IN-KA,143217,51
2016-03-31,Rajinikanth,12.75,IN-KA,159789,61
2016-04-30,Rajinikanth,13.25,IN-KA,165492,36
2016-05-31,Rajinikanth,15.2,IN-KA,222539,61
2016-06-30,Rajinikanth,18.0,IN-KA,243474,64
2016-07-31,Rajinikanth,49.0,IN-KA,926401,125
2016-08-31,Rajinikanth,19.25,IN-KA,266041,0
2016-09-30,Rajinikanth,16.25,IN-KA,193833,0
2016-10-31,Rajinikanth,14.8,IN-KA,152700,0
2016-11-30,Rajinikanth,17.0,IN-KA,195474,0
2016-12-31,Rajinikanth,23.25,IN-KA,269844,0
2017-01-31,Rajinikanth,14.2,IN-KA,142958,42
2017-02-28,Rajinikanth,13.25,IN-KA,114437,51
2017-03-31,Rajinikanth,14.75,IN-KA,133285,48
2017-04-30,Rajinikanth,13.8,IN-KA,128117,32
2017-05-31,Rajinikanth,20.25,IN-KA,209151,66
2017-06-30,Rajinikanth,15.25,IN-KA,131809,42
2017-07-31,Rajinikanth,15.4,IN-KA,130062,0
2017-08-31,Rajinikanth,14.0,IN-KA,122731,2
2017-09-30,Rajinikanth,11.75,IN-KA,105266,1
2017-10-31,Rajinikanth,12.4,IN-KA,130677,10
2017-11-30,Rajinikanth,12.25,IN-KA,124667,13
2017-12-31,Rajinikanth,28.2,IN-KA,222773,12
2018-01-31,Rajinikanth,17.0,IN-KA,209927,6
2018-02-28,Rajinikanth,17.25,IN-KA,133242,5
2018-03-31,Rajinikanth,17.5,IN-KA,174643,10
2018-04-30,Rajinikanth,14.2,IN-KA,111848,6
2018-05-31,Rajinikanth,18.75,IN-KA,126033,4
2018-06-30,Rajinikanth,30.0,IN-KA,242542,20
2018-07-31,Rajinikanth,21.0,IN-KA,127994,3
2018-08-31,Rajinikanth,23.75,IN-KA,154091,6
2018-09-30,Rajinikanth,29.4,IN-KA,152920,8
2018-10-31,Rajinikanth,26.75,IN-KA,123129,5
2018-11-30,Rajinikanth,36.25,IN-KA,243156,8
2018-12-31,Rajinikanth,47.2,IN-KA,376485,15
2019-01-31,Rajinikanth,38.0,IN-KA,281627,13
2019-02-28,Rajinikanth,30.25,IN-KA,244907,10
2019-03-31,Rajinikanth,23.6,IN-KA,113502,11
2019-04-30,Rajinikanth,24.75,IN-KA,145376,12
2019-05-31,Rajinikanth,19.5,IN-KA,109269,0
2019-06-30,Rajinikanth,18.4,IN-KA,101361,7
2019-07-31,Rajinikanth,20.5,IN-KA,115276,7
2019-08-31,Rajinikanth,19.75,IN-KA,139218,2
2019-09-30,Rajinikanth,16.4,IN-KA,129282,13
2019-10-31,Rajinikanth,17.75,IN-KA,118129,5
2019-11-30,Rajinikanth,19.75,IN-KA,174289,9
2019-12-31,Rajinikanth,24.6,IN-KA,274155,14
2020-01-31,Rajinikanth,25.75,IN-KA,276020,21
2020-02-29,Rajinikanth,15.75,IN-KA,157218,3
2020-03-31,Rajinikanth,20.0,IN-KA,205105,12
2020-04-30,Rajinikanth,20.0,IN-KA,263542,7
2020-05-31,Rajinikanth,14.6,IN-KA,185484,9
2020-06-30,Rajinikanth,14.75,IN-KA,176528,17
2020-07-31,Rajinikanth,14.75,IN-KA,175305,9
2020-08-31,Rajinikanth,12.8,IN-KA,146676,10
2020-09-30,Rajinikanth,12.5,IN-KA,126170,6
2020-10-31,Rajinikanth,10.75,IN-KA,107348,4
2020-11-30,Rajinikanth,13.8,IN-KA,122808,11
2020-12-31,Rajinikanth,29.0,IN-KA,295237,8
2016-01-31,Shah Rukh Khan,68.2,IN-DL,540037,87
2016-02-29,Shah Rukh Khan,66.75,IN-DL,420610,27
2016-03-31,Shah Rukh Khan,66.25,IN-DL,415865,16
2016-04-30,Shah Rukh Khan,84.0,IN-DL,587490,43
2016-05-31,Shah Rukh Khan,66.0,IN-DL,452777,1
2016-06-30,Shah Rukh Khan,62.0,IN-DL,382475,30
2016-07-31,Shah Rukh Khan,69.6,IN-DL,451378,33
2016-08-31,Shah Rukh Khan,67.5,IN-DL,391537,23
2016-09-30,Shah Rukh Khan,60.5,IN-DL,368539,18
2016-10-31,Shah Rukh Khan,66.4,IN-DL,404315,17
2016-11-30,Shah Rukh Khan,70.0,IN-DL,557131,38
2016-12-31,Shah Rukh Khan,75.0,IN-DL,504121,17
2017-01-31,Shah Rukh Khan,81.0,IN-DL,604291,22
2017-02-28,Shah Rukh Khan,68.0,IN-DL,446441,22
