date,name,relative_popularity,nationality,page_views,edits
2016-01-31,Bill Gates,16.0,US-WA,1161602,41
2016-02-29,Bill Gates,17.0,US-WA,1241241,60
2016-03-31,Bill Gates,14.75,US-WA,1351707,110
2016-04-30,Bill Gates,14.25,US-WA,882531,52
2016-05-31,Bill Gates,14.4,US-WA,1140081,29
2016-06-30,Bill Gates,13.0,US-WA,885326,48
2016-07-31,Bill Gates,12.6,US-WA,1230220,55
2016-08-31,Bill Gates,12.75,US-WA,894849,81
2016-09-30,Bill Gates,15.0,US-WA,1034755,24
2016-10-31,Bill Gates,14.6,US-WA,1394298,0
2016-11-30,Bill Gates,15.75,US-WA,3537232,0
2016-12-31,Bill Gates,15.25,US-WA,1253296,0
2017-01-31,Bill Gates,16.4,US-WA,3498025,319
2017-02-28,Bill Gates,17.25,US-WA,1250309,124
2017-03-31,Bill Gates,16.0,US-WA,838481,57
2017-04-30,Bill Gates,15.0,US-WA,677845,0
2017-05-31,Bill Gates,15.5,US-WA,784963,0
2017-06-30,Bill Gates,13.25,US-WA,621287,0
2017-07-31,Bill Gates,15.8,US-WA,576316,0
2017-08-31,Bill Gates,15.5,US-WA,648698,0
2017-09-30,Bill Gates,15.75,US-WA,546805,0
2017-10-31,Bill Gates,15.0,US-WA,726279,0
2017-11-30,Bill Gates,16.5,US-WA,656703,0
2017-12-31,Bill Gates,13.8,US-WA,595457,0
2018-01-31,Bill Gates,16.0,US-WA,894478,40
2018-02-28,Bill Gates,17.25,US-WA,817537,40
2018-03-31,Bill Gates,14.75,US-WA,686128,42
2018-04-30,Bill Gates,14.2,US-WA,679959,47
2018-05-31,Bill Gates,14.75,US-WA,642048,42
2018-06-30,Bill Gates,11.0,US-WA,532586,33
2018-07-31,Bill Gates,11.0,US-WA,610066,30
2018-08-31,Bill Gates,11.25,US-WA,713441,50
2018-09-30,Bill Gates,12.4,US-WA,700882,33
2018-10-31,Bill Gates,15.25,US-WA,663908,37
2018-11-30,Bill Gates,13.5,US-WA,900040,56
2018-12-31,Bill Gates,12.6,US-WA,945274,23
2019-01-31,Bill Gates,15.25,US-WA,778671,39
2019-02-28,Bill Gates,14.0,US-WA,821837,29
2019-03-31,Bill Gates,11.8,US-WA,715327,33
2019-04-30,Bill Gates,12.0,US-WA,659127,36
2019-05-31,Bill Gates,11.5,US-WA,642932,26
2019-06-30,Bill Gates,11.2,US-WA,576395,34
2019-07-31,Bill Gates,11.5,US-WA,782222,18
2019-08-31,Bill Gates,12.25,US-WA,768199,20
2019-09-30,Bill Gates,22.0,US-WA,641525,39
