date,name,relative_popularity,nationality,page_views,edits
2016-01-31,Dwayne Johnson,28.8,US-CA,844705,27
2016-02-29,Dwayne Johnson,25.5,US-CA,670392,30
2016-03-31,Dwayne Johnson,30.0,US-CA,776965,33
2016-04-30,Dwayne Johnson,30.75,US-CA,895434,77
2016-05-31,Dwayne Johnson,25.8,US-CA,682550,23
2016-06-30,Dwayne Johnson,33.0,US-CA,974524,28
2016-07-31,Dwayne Johnson,36.8,US-CA,1095213,14
2016-08-31,Dwayne Johnson,33.5,US-CA,933227,18
2016-09-30,Dwayne Johnson,27.75,US-CA,850957,40
2016-10-31,Dwayne Johnson,24.8,US-CA,740055,13
2016-11-30,Dwayne Johnson,32.25,US-CA,1203798,60
2016-12-31,Dwayne Johnson,33.0,US-CA,1215572,58
2017-01-31,Dwayne Johnson,27.6,US-CA,940183,28
2017-02-28,Dwayne Johnson,27.5,US-CA,938068,19
2017-03-31,Dwayne Johnson,28.5,US-CA,926973,33
2017-04-30,Dwayne Johnson,33.8,US-CA,1218360,55
2017-05-31,Dwayne Johnson,36.0,US-CA,1492489,43
2017-06-30,Dwayne Johnson,27.5,US-CA,902879,19
2017-07-31,Dwayne Johnson,32.0,US-CA,1040047,35
2017-08-31,Dwayne Johnson,53.75,US-CA,1437308,24
2017-09-30,Dwayne Johnson,31.25,US-CA,1099228,35
2017-10-31,Dwayne Johnson,25.8,US-CA,659303,16
2017-11-30,Dwayne Johnson,24.0,US-CA,679353,12
2017-12-31,Dwayne Johnson,34.4,US-CA,1110849,54
2018-01-31,Dwayne Johnson,30.5,US-CA,1035742,14
2018-02-28,Dwayne Johnson,28.0,US-CA,733198,13
2018-03-31,Dwayne Johnson,30.25,US-CA,875487,22
2018-04-30,Dwayne Johnson,42.4,US-CA,1580548,34
2018-05-31,Dwayne Johnson,31.25,US-CA,811949,35
2018-06-30,Dwayne Johnson,26.75,US-CA,696394,148
2018-07-31,Dwayne Johnson,40.2,US-CA,1206026,24
2018-08-31,Dwayne Johnson,35.0,US-CA,946288,28
2018-09-30,Dwayne Johnson,27.4,US-CA,697416,17
2018-10-31,Dwayne Johnson,27.25,US-CA,729227,15
2018-11-30,Dwayne Johnson,26.25,US-CA,719105,9
2018-12-31,Dwayne Johnson,30.8,US-CA,798841,17
2019-01-31,Dwayne Johnson,29.25,US-CA,937201,36
2019-02-28,Dwayne Johnson,26.5,US-CA,705063,22
2019-03-31,Dwayne Johnson,25.0,US-CA,712289,98
2019-04-30,Dwayne Johnson,27.0,US-CA,709630,344
2019-05-31,Dwayne Johnson,22.5,US-CA,712159,0
2019-06-30,Dwayne Johnson,24.0,US-CA,622398,0
2019-07-31,Dwayne Johnson,29.5,US-CA,822668,0
2019-08-31,Dwayne Johnson,40.0,US-CA,1754678,0
2019-09-30,Dwayne Johnson,25.8,US-CA,831847,0
2019-10-31,Dwayne Johnson,26.25,US-CA,760256,0
2019-11-30,Dwayne Johnson,48.5,US-CA,1067470,0
2019-12-31,Dwayne Johnson,33.4,US-CA,905187,0
2020-01-31,Dwayne Johnson,34.5,US-CA,1049495,27
2020-02-29,Dwayne Johnson,30.5,US-CA,788027,12
2020-03-31,Dwayne Johnson,31.4,US-CA,785539,20
2020-04-30,Dwayne Johnson,35.5,US-CA,967512,16
2020-05-31,Dwayne Johnson,32.6,US-CA,976914,19
2020-06-30,Dwayne Johnson,31.25,US-CA,816668,19
2020-07-31,Dwayne Johnson,28.5,US-CA,720346,11
2020-08-31,Dwayne Johnson,34.0,US-CA,893501,30
2020-09-30,Dwayne Johnson,29.0,US-CA,806597,70
2020-10-31,Dwayne Johnson,26.0,US-CA,579558,34
2020-11-30,Dwayne Johnson,24.4,US-CA,555763,17
2020-12-31,Dwayne Johnson,26.25,US-CA,547937,33
2016-01-31,Justin Bieber,83.6,CAN-ON,915232,33
2016-02-29,Justin Bieber,77.25,CAN-ON,851733,40
2016-03-31,Justin Bieber,68.75,CAN-ON,718891,51
2016-04-30,Justin Bieber,60.75,CAN-ON,550549,27
2016-05-31,Justin Bieber,55.8,CAN-ON,558233,28
2016-06-30,Justin Bieber,54.0,CAN-ON,485935,14
2016-07-31,Justin Bieber,50.0,CAN-ON,435720,27
2016-08-31,Justin Bieber,67.0,CAN-ON,512946,44
2016-09-30,Justin Bieber,48.75,CAN-ON,554645,36
2016-10-31,Justin Bieber,47.8,CAN-ON,570860,53
2016-11-30,Justin Bieber,47.25,CAN-ON,595062,21
2016-12-31,Justin Bieber,46.0,CAN-ON,630702,15
2017-01-31,Justin Bieber,39.0,CAN-ON,571195,22
2017-02-28,Justin Bieber,40.5,CAN-ON,555532,43
2017-03-31,Justin Bieber,40.25,CAN-ON,702985,41
2017-04-30,Justin Bieber,45.6,CAN-ON,482914,20
2017-05-31,Justin Bieber,62.0,CAN-ON,1266630,31
2017-06-30,Justin Bieber,55.0,CAN-ON,625334,36
2017-07-31,Justin Bieber,52.0,CAN-ON,624386,24
2017-08-31,Justin Bieber,43.25,CAN-ON,503514,29
2017-09-30,Justin Bieber,30.25,CAN-ON,407177,23
2017-10-31,Justin Bieber,35.8,CAN-ON,496159,15
2017-11-30,Justin Bieber,40.5,CAN-ON,553344,62
2017-12-31,Justin Bieber,31.6,CAN-ON,457917,28
2018-01-31,Justin Bieber,25.0,CAN-ON,421444,18
2018-02-28,Justin Bieber,27.25,CAN-ON,414661,22
2018-03-31,Justin Bieber,24.5,CAN-ON,594983,12
2018-04-30,Justin Bieber,22.2,CAN-ON,357577,30
2018-05-31,Justin Bieber,19.25,CAN-ON,342656,8
2018-06-30,Justin Bieber,20.5,CAN-ON,332584,31
2018-07-31,Justin Bieber,36.8,CAN-ON,1070156,44
2018-08-31,Justin Bieber,22.25,CAN-ON,486263,21
2018-09-30,Justin Bieber,20.6,CAN-ON,534831,28
2018-10-31,Justin Bieber,21.0,CAN-ON,594306,40
2018-11-30,Justin Bieber,18.75,CAN-ON,651578,75
2018-12-31,Justin Bieber,18.0,CAN-ON,608843,27
2019-01-31,Justin Bieber,15.0,CAN-ON,511879,38
2019-02-28,Justin Bieber,17.75,CAN-ON,605769,16
2019-03-31,Justin Bieber,17.6,CAN-ON,575816,35
2019-04-30,Justin Bieber,14.75,CAN-ON,444191,20
2019-05-31,Justin Bieber,16.5,CAN-ON,430653,17
2019-06-30,Justin Bieber,16.8,CAN-ON,386868,17
2019-07-31,Justin Bieber,17.5,CAN-ON,415846,29
2019-08-31,Justin Bieber,13.0,CAN-ON,336489,18
2019-09-30,Justin Bieber,16.0,CAN-ON,427793,31
2019-10-31,Justin Bieber,18.25,CAN-ON,690728,28
2019-11-30,Justin Bieber,13.0,CAN-ON,347699,6
2019-12-31,Justin Bieber,15.6,CAN-ON,365948,24
2020-01-31,Justin Bieber,24.75,CAN-ON,680450,49
2020-02-29,Justin Bieber,29.5,CAN-ON,905259,34
2020-03-31,Justin Bieber,18.2,CAN-ON,505586,20
2020-04-30,Justin Bieber,16.25,CAN-ON,465764,64
2020-05-31,Justin Bieber,16.6,CAN-ON,556446,47
2020-06-30,Justin Bieber,15.25,CAN-ON,407356,38
2020-07-31,Justin Bieber,13.5,CAN-ON,403339,14
2020-08-31,Justin Bieber,13.2,CAN-ON,385973,25
2020-09-30,Justin Bieber,14.75,CAN-ON,442798,29
2020-10-31,Justin Bieber,15.25,CAN-ON,498718,33
2020-11-30,Justin Bieber,17.8,CAN-ON,585807,24
