date,name,relative_popularity,nationality,page_views,edits
2016-01-31,Vladimir Putin,27.0,RU-SP,407089,53
2016-02-29,Vladimir Putin,22.5,RU-SP,320275,403
2016-03-31,Vladimir Putin,21.25,RU-SP,325561,44
2016-04-30,Vladimir Putin,26.25,RU-SP,354497,0
2016-05-31,Vladimir Putin,19.2,RU-SP,313900,0
2016-06-30,Vladimir Putin,18.25,RU-SP,283929,0
2016-07-31,Vladimir Putin,18.8,RU-SP,334749,0
2016-08-31,Vladimir Putin,18.0,RU-SP,357224,0
2016-09-30,Vladimir Putin,25.0,RU-SP,468105,0
2016-10-31,Vladimir Putin,31.4,RU-SP,641479,0
2016-11-30,Vladimir Putin,34.0,RU-SP,743672,0
2016-12-31,Vladimir Putin,40.25,RU-SP,879071,0
2017-01-31,Vladimir Putin,28.8,RU-SP,785659,81
2017-02-28,Vladimir Putin,23.75,RU-SP,590692,28
2017-03-31,Vladimir Putin,21.5,RU-SP,573335,121
2017-04-30,Vladimir Putin,25.4,RU-SP,556415,34
2017-05-31,Vladimir Putin,22.0,RU-SP,457380,129
2017-06-30,Vladimir Putin,29.0,RU-SP,529526,32
2017-07-31,Vladimir Putin,24.4,RU-SP,568678,41
2017-08-31,Vladimir Putin,16.5,RU-SP,388206,31
2017-09-30,Vladimir Putin,17.75,RU-SP,317570,3
2017-10-31,Vladimir Putin,21.6,RU-SP,379850,0
2017-11-30,Vladimir Putin,20.75,RU-SP,386869,0
2017-12-31,Vladimir Putin,24.4,RU-SP,430812,0
2018-01-31,Vladimir Putin,20.25,RU-SP,380591,24
2018-02-28,Vladimir Putin,24.0,RU-SP,347755,21
2018-03-31,Vladimir Putin,48.5,RU-SP,1271131,139
2018-04-30,Vladimir Putin,22.4,RU-SP,438563,21
2018-05-31,Vladimir Putin,22.0,RU-SP,382483,25
2018-06-30,Vladimir Putin,23.25,RU-SP,386725,44
2018-07-31,Vladimir Putin,37.4,RU-SP,892782,32
2018-08-31,Vladimir Putin,17.5,RU-SP,307890,8
2018-09-30,Vladimir Putin,16.2,RU-SP,271754,12
2018-10-31,Vladimir Putin,17.5,RU-SP,340733,81
2018-11-30,Vladimir Putin,18.75,RU-SP,290187,29
2018-12-31,Vladimir Putin,22.2,RU-SP,392832,25
2019-01-31,Vladimir Putin,18.75,RU-SP,342483,29
2019-02-28,Vladimir Putin,16.75,RU-SP,295539,20
2019-03-31,Vladimir Putin,14.2,RU-SP,295086,40
2019-04-30,Vladimir Putin,15.75,RU-SP,281246,25
2019-05-31,Vladimir Putin,15.0,RU-SP,322963,16
2019-06-30,Vladimir Putin,16.6,RU-SP,327640,36
2019-07-31,Vladimir Putin,15.0,RU-SP,299513,12
2019-08-31,Vladimir Putin,13.75,RU-SP,304289,18
2019-09-30,Vladimir Putin,13.2,RU-SP,288330,15
2019-10-31,Vladimir Putin,16.25,RU-SP,326702,15
2019-11-30,Vladimir Putin,13.0,RU-SP,276828,36
2019-12-31,Vladimir Putin,19.4,RU-SP,327873,24
2020-01-31,Vladimir Putin,23.25,RU-SP,512703,44
2020-02-29,Vladimir Putin,14.5,RU-SP,258530,26
2020-03-31,Vladimir Putin,45.0,RU-SP,571426,25
2020-04-30,Vladimir Putin,31.25,RU-SP,494610,25
2020-05-31,Vladimir Putin,20.8,RU-SP,350706,84
2020-06-30,Vladimir Putin,23.25,RU-SP,403573,46
2020-07-31,Vladimir Putin,17.5,RU-SP,589611,33
2020-08-31,Vladimir Putin,23.6,RU-SP,669423,39
2020-09-30,Vladimir Putin,15.5,RU-SP,381644,35
2020-10-31,Vladimir Putin,16.5,RU-SP,417369,96
2020-11-30,Vladimir Putin,24.2,RU-SP,664370,47
2020-12-31,Vladimir Putin,22.25,RU-SP,379687,0
2016-01-31,Steve Jobs,82.2,,1316760,10
2016-02-29,Steve Jobs,70.75,,1109380,16
2016-03-31,Steve Jobs,50.0,,892646,5
2016-04-30,Steve Jobs,42.75,,678932,8
2016-05-31,Steve Jobs,37.0,,617485,7
2016-06-30,Steve Jobs,29.75,,504022,8
2016-07-31,Steve Jobs,24.4,,443572,5
2016-08-31,Steve Jobs,34.5,,539735,9
2016-09-30,Steve Jobs,52.0,,1053250,19
2016-10-31,Steve Jobs,44.0,,895560,8
2016-11-30,Steve Jobs,34.5,,714978,8
2016-12-31,Steve Jobs,30.0,,615418,11
2017-01-31,Steve Jobs,37.4,,812497,29
2017-02-28,Steve Jobs,38.0,,794416,106
2017-03-31,Steve Jobs,32.75,,580664,16
2017-04-30,Steve Jobs,30.4,,533582,39
2017-05-31,Steve Jobs,29.0,,529700,16
2017-06-30,Steve Jobs,29.0,,520238,10
2017-07-31,Steve Jobs,28.4,,772826,15
2017-08-31,Steve Jobs,29.25,,472983,9
