date,name,relative_popularity,nationality,page_views,edits
2016-01-31,Cristiano Ronaldo,19.8,PT,843255,73
2016-02-29,Cristiano Ronaldo,19.0,PT,835274,53
2016-03-31,Cristiano Ronaldo,17.5,PT,798209,117
2016-04-30,Cristiano Ronaldo,22.75,PT,986517,199
2016-05-31,Cristiano Ronaldo,20.8,PT,986121,58
2016-06-30,Cristiano Ronaldo,32.5,PT,1596094,0
2016-07-31,Cristiano Ronaldo,37.4,PT,1924266,0
2016-08-31,Cristiano Ronaldo,16.75,PT,627738,0
2016-09-30,Cristiano Ronaldo,16.0,PT,622803,0
2016-10-31,Cristiano Ronaldo,15.0,PT,726290,0
2016-11-30,Cristiano Ronaldo,19.25,PT,818368,0
2016-12-31,Cristiano Ronaldo,20.5,PT,945395,0
2017-01-31,Cristiano Ronaldo,14.8,PT,834319,117
2017-02-28,Cristiano Ronaldo,13.0,PT,688524,45
2017-03-31,Cristiano Ronaldo,14.75,PT,810009,71
2017-04-30,Cristiano Ronaldo,20.4,PT,1121041,84
2017-05-31,Cristiano Ronaldo,19.25,PT,1262604,75
2017-06-30,Cristiano Ronaldo,30.5,PT,1721269,108
2017-07-31,Cristiano Ronaldo,16.6,PT,827818,0
2017-08-31,Cristiano Ronaldo,18.0,PT,879515,0
2017-09-30,Cristiano Ronaldo,14.0,PT,803117,0
2017-10-31,Cristiano Ronaldo,14.8,PT,912846,0
2017-11-30,Cristiano Ronaldo,14.5,PT,869189,0
2017-12-31,Cristiano Ronaldo,16.2,PT,909954,0
2018-01-31,Cristiano Ronaldo,14.5,PT,826087,47
2018-02-28,Cristiano Ronaldo,14.25,PT,928490,53
2018-03-31,Cristiano Ronaldo,15.5,PT,1104764,196
2018-04-30,Cristiano Ronaldo,23.0,PT,1288839,137
2018-05-31,Cristiano Ronaldo,19.75,PT,1378079,67
2018-06-30,Cristiano Ronaldo,45.25,PT,4213122,0
2018-07-31,Cristiano Ronaldo,57.2,PT,3436411,0
2018-08-31,Cristiano Ronaldo,19.5,PT,1026597,0
2018-09-30,Cristiano Ronaldo,22.2,PT,968377,0
2018-10-31,Cristiano Ronaldo,18.75,PT,1120887,0
2018-11-30,Cristiano Ronaldo,14.75,PT,845181,0
2018-12-31,Cristiano Ronaldo,14.0,PT,875395,0
2019-01-31,Cristiano Ronaldo,13.75,PT,1091279,76
2019-02-28,Cristiano Ronaldo,14.5,PT,1286088,53
2019-03-31,Cristiano Ronaldo,18.2,PT,1142218,52
2019-04-30,Cristiano Ronaldo,15.5,PT,856601,91
2019-05-31,Cristiano Ronaldo,12.0,PT,843668,137
2019-06-30,Cristiano Ronaldo,12.6,PT,970014,91
2019-07-31,Cristiano Ronaldo,11.0,PT,709482,0
2019-08-31,Cristiano Ronaldo,11.25,PT,706118,0
2019-09-30,Cristiano Ronaldo,12.0,PT,1068814,0
2019-10-31,Cristiano Ronaldo,11.0,PT,931713,0
2019-11-30,Cristiano Ronaldo,12.0,PT,840371,0
2019-12-31,Cristiano Ronaldo,14.2,PT,868299,0
2020-01-31,Cristiano Ronaldo,11.75,PT,840426,78
2020-02-29,Cristiano Ronaldo,14.0,PT,937922,51
2020-03-31,Cristiano Ronaldo,13.2,PT,737766,17
2020-04-30,Cristiano Ronaldo,9.75,PT,879573,36
2020-05-31,Cristiano Ronaldo,8.8,PT,740784,34
2020-06-30,Cristiano Ronaldo,10.5,PT,780087,45
2020-07-31,Cristiano Ronaldo,11.25,PT,1169358,74
2020-08-31,Cristiano Ronaldo,13.2,PT,1043578,22
2020-09-30,Cristiano Ronaldo,9.75,PT,931601,105
2020-10-31,Cristiano Ronaldo,14.5,PT,804033,38
2020-11-30,Cristiano Ronaldo,11.0,PT,900171,0
2020-12-31,Cristiano Ronaldo,13.5,PT,1060875,0
2016-01-31,William Shakespeare,24.4,UK-LDN,578677,15
2016-02-29,William Shakespeare,25.75,UK-LDN,491626,6
2016-03-31,William Shakespeare,25.0,UK-LDN,504201,10
2016-04-30,William Shakespeare,54.75,UK-LDN,1539761,26
2016-05-31,William Shakespeare,29.2,UK-LDN,634924,6
2016-06-30,William Shakespeare,23.75,UK-LDN,521885,4
