date,name,relative_popularity,nationality,page_views,edits
2018-05-31,Narendra Modi,9.25,IN-GUJ,123367,4
2018-06-30,Narendra Modi,9.25,IN-GUJ,131980,3
2018-07-31,Narendra Modi,10.2,IN-GUJ,173201,4
2018-08-31,Narendra Modi,12.75,IN-GUJ,153138,6
2018-09-30,Narendra Modi,15.0,IN-GUJ,163442,3
2018-10-31,Narendra Modi,15.75,IN-GUJ,174917,7
2018-11-30,Narendra Modi,17.75,IN-GUJ,176151,8
2018-12-31,Narendra Modi,21.2,IN-GUJ,161640,11
2019-01-31,Narendra Modi,18.5,IN-GUJ,226337,17
2019-02-28,Narendra Modi,24.25,IN-GUJ,373528,6
2019-03-31,Narendra Modi,25.8,IN-GUJ,196342,8
2019-04-30,Narendra Modi,35.25,IN-GUJ,115333,64
2019-05-31,Narendra Modi,62.75,IN-GUJ,111945,15
2019-06-30,Narendra Modi,24.0,IN-GUJ,95777,11
2019-07-31,Narendra Modi,17.0,IN-GUJ,117350,11
2019-08-31,Narendra Modi,24.5,IN-GUJ,121725,11
2019-09-30,Narendra Modi,21.0,IN-GUJ,117648,14
2019-10-31,Narendra Modi,14.75,IN-GUJ,141329,18
2019-11-30,Narendra Modi,12.75,IN-GUJ,164482,10
2019-12-31,Narendra Modi,13.4,IN-GUJ,167657,78
2020-01-31,Narendra Modi,11.25,IN-GUJ,177315,53
2020-02-29,Narendra Modi,10.75,IN-GUJ,173554,13
2020-03-31,Narendra Modi,24.2,IN-GUJ,149635,3
2020-04-30,Narendra Modi,27.25,IN-GUJ,196774,9
2020-05-31,Narendra Modi,16.6,IN-GUJ,150578,6
2020-06-30,Narendra Modi,13.25,IN-GUJ,152818,18
2020-07-31,Narendra Modi,9.75,IN-GUJ,268214,10
2020-08-31,Narendra Modi,11.4,IN-GUJ,183683,8
2020-09-30,Narendra Modi,11.25,IN-GUJ,152098,3
2020-10-31,Narendra Modi,8.0,IN-GUJ,119642,11
2020-11-30,Narendra Modi,7.2,IN-GUJ,116201,14
2020-12-31,Narendra Modi,7.5,IN-GUJ,185528,21
2016-01-31,Satya Nadella,25.4,IN-TG,271375,13
2016-02-29,Satya Nadella,19.0,IN-TG,261803,37
2016-03-31,Satya Nadella,18.0,IN-TG,241181,19
2016-04-30,Satya Nadella,20.0,IN-TG,235040,31
2016-05-31,Satya Nadella,23.4,IN-TG,337557,70
2016-06-30,Satya Nadella,35.75,IN-TG,349496,43
2016-07-31,Satya Nadella,19.2,IN-TG,270976,16
2016-08-31,Satya Nadella,15.75,IN-TG,264407,8
2016-09-30,Satya Nadella,18.5,IN-TG,330999,61
2016-10-31,Satya Nadella,21.0,IN-TG,293585,29
2016-11-30,Satya Nadella,18.0,IN-TG,820216,68
2016-12-31,Satya Nadella,18.25,IN-TG,591974,105
2017-01-31,Satya Nadella,23.8,IN-TG,398209,77
2017-02-28,Satya Nadella,21.5,IN-TG,283872,56
2017-03-31,Satya Nadella,18.5,IN-TG,397665,32
2017-04-30,Satya Nadella,18.0,IN-TG,251454,35
2017-05-31,Satya Nadella,18.0,IN-TG,268477,23
2017-06-30,Satya Nadella,17.5,IN-TG,341967,55
2017-07-31,Satya Nadella,17.6,IN-TG,418823,52
2017-08-31,Satya Nadella,14.25,IN-TG,297749,34
2017-09-30,Satya Nadella,44.5,IN-TG,387375,8
2017-10-31,Satya Nadella,48.0,IN-TG,279307,14
2017-11-30,Satya Nadella,38.0,IN-TG,290407,34
2017-12-31,Satya Nadella,24.4,IN-TG,338518,14
2018-01-31,Satya Nadella,20.5,IN-TG,294033,36
2018-02-28,Satya Nadella,20.5,IN-TG,316687,24
2018-03-31,Satya Nadella,20.0,IN-TG,299560,13
2018-04-30,Satya Nadella,19.4,IN-TG,271412,42
2018-05-31,Satya Nadella,23.25,IN-TG,402822,30
2018-06-30,Satya Nadella,29.25,IN-TG,346881,14
2018-07-31,Satya Nadella,22.6,IN-TG,333879,8
2018-08-31,Satya Nadella,23.25,IN-TG,493759,8
2018-09-30,Satya Nadella,21.4,IN-TG,410475,23
2018-10-31,Satya Nadella,25.75,IN-TG,358639,23
2018-11-30,Satya Nadella,22.25,IN-TG,373945,25
2018-12-31,Satya Nadella,24.2,IN-TG,404676,22
2019-01-31,Satya Nadella,23.0,IN-TG,481306,43
2019-02-28,Satya Nadella,23.25,IN-TG,559575,44
2019-03-31,Satya Nadella,19.8,IN-TG,717354,52
2019-04-30,Satya Nadella,21.25,IN-TG,758142,87
2019-05-31,Satya Nadella,25.0,IN-TG,1553379,47
2019-06-30,Satya Nadella,19.6,IN-TG,548869,35
2019-07-31,Satya Nadella,22.0,IN-TG,341162,13
2019-08-31,Satya Nadella,21.25,IN-TG,689430,29
2019-09-30,Satya Nadella,29.4,IN-TG,640756,19
2019-10-31,Satya Nadella,27.75,IN-TG,369289,15
2019-11-30,Satya Nadella,24.75,IN-TG,333039,8
2019-12-31,Satya Nadella,26.2,IN-TG,414847,8
2020-01-31,Satya Nadella,43.25,IN-TG,378661,21
2020-02-29,Satya Nadella,29.5,IN-TG,392504,37
2020-03-31,Satya Nadella,25.0,IN-TG,400533,13
2020-04-30,Satya Nadella,19.0,IN-TG,638195,15
2020-05-31,Satya Nadella,22.6,IN-TG,456961,28
2020-06-30,Satya Nadella,24.75,IN-TG,335661,12
2020-07-31,Satya Nadella,26.0,IN-TG,372567,49
2020-08-31,Satya Nadella,29.4,IN-TG,493161,96
2020-09-30,Satya Nadella,23.5,IN-TG,483001,61
2020-10-31,Satya Nadella,21.25,IN-TG,303040,45
2020-11-30,Satya Nadella,14.8,IN-TG,358299,69
2020-12-31,Satya Nadella,16.0,IN-TG,1131621,54
2016-01-31,MS Dhoni,5.2,IN-BR,5669,15
2016-02-29,MS Dhoni,5.25,IN-BR,5448,21
2016-03-31,MS Dhoni,16.0,IN-BR,8995,18
2016-04-30,MS Dhoni,8.0,IN-BR,5623,22
2016-05-31,MS Dhoni,7.0,IN-BR,5055,4
2016-06-30,MS Dhoni,5.25,IN-BR,4349,7
2016-07-31,MS Dhoni,5.0,IN-BR,3706,3
2016-08-31,MS Dhoni,8.75,IN-BR,5032,24
2016-09-30,MS Dhoni,25.25,IN-BR,5356,20
2016-10-31,MS Dhoni,46.0,IN-BR,14809,24
2016-11-30,MS Dhoni,11.75,IN-BR,6187,7
2016-12-31,MS Dhoni,10.75,IN-BR,10568,4
2017-01-31,MS Dhoni,20.4,IN-BR,39967,57
2017-02-28,MS Dhoni,10.0,IN-BR,275413,21
2017-03-31,MS Dhoni,11.25,IN-BR,310600,11
2017-04-30,MS Dhoni,12.0,IN-BR,319166,23
2017-05-31,MS Dhoni,12.0,IN-BR,296925,35
2017-06-30,MS Dhoni,13.75,IN-BR,443139,37
2017-07-31,MS Dhoni,12.0,IN-BR,358721,45
2017-08-31,MS Dhoni,8.5,IN-BR,308902,20
2017-09-30,MS Dhoni,8.5,IN-BR,365478,25
2017-10-31,MS Dhoni,8.2,IN-BR,325409,17
2017-11-30,MS Dhoni,7.0,IN-BR,283348,14
