date,Vladimir Putin,Steve Jobs,Nelson Mandela,Albert Einstein,Emma Watson
2019-07-21,13,27,17,30,7
2019-07-28,14,25,17,31,8
2019-08-04,13,22,16,31,8
2019-08-11,13,21,17,34,10
2019-08-18,16,20,18,33,12
2019-08-25,13,37,20,36,8
2019-09-01,13,28,20,35,8
2019-09-08,13,33,22,40,7
2019-09-15,13,33,19,37,7
2019-09-22,12,41,17,35,7
2019-09-29,15,34,17,37,7
2019-10-06,21,32,18,39,8
2019-10-13,16,28,16,34,7
2019-10-20,15,24,17,35,8
2019-10-27,13,26,19,33,7
2019-11-03,12,26,20,36,14
2019-11-10,14,28,21,37,9
2019-11-17,13,26,22,36,9
2019-11-24,13,23,18,34,9
2019-12-01,13,28,19,33,8
2019-12-08,19,26,17,32,8
2019-12-15,21,22,14,32,10
2019-12-22,18,21,14,29,13
2019-12-29,26,21,16,30,13
2020-01-05,23,22,24,34,10
2020-01-12,34,23,22,34,9
2020-01-19,20,29,17,33,8
2020-01-26,16,26,17,34,8
2020-02-02,15,23,19,38,8
2020-02-09,14,28,22,35,8
2020-02-16,14,26,19,38,8
2020-02-23,15,28,21,38,7
2020-03-01,21,27,18,35,7
2020-03-08,33,21,16,40,7
2020-03-15,33,20,14,34,9
2020-03-22,82,23,18,36,12
2020-03-29,56,24,18,38,13
2020-04-05,31,23,19,35,14
2020-04-12,31,28,19,38,20
2020-04-19,20,27,19,41,15
2020-04-26,43,27,21,35,14
2020-05-03,26,26,19,40,13
2020-05-10,33,27,23,38,11
2020-05-17,14,26,21,41,11
2020-05-24,15,26,21,40,11
2020-05-31,16,25,30,36,13
2020-06-07,13,24,34,38,12
2020-06-14,15,25,21,35,12
2020-06-21,29,25,19,31,10
2020-06-28,36,24,18,33,9
2020-07-05,20,21,18,32,10
2020-07-12,16,21,42,32,9
2020-07-19,16,22,25,32,9
2020-07-26,18,24,16,33,10
2020-08-02,15,22,16,31,10
2020-08-09,37,24,16,33,10
2020-08-16,30,27,18,33,10
2020-08-23,20,26,19,34,10
2020-08-30,16,25,18,34,10
2020-09-06,15,28,19,38,12
2020-09-13,16,29,18,37,13
2020-09-20,15,25,18,36,13
2020-09-27,16,23,17,36,12
2020-10-04,22,26,18,39,10
2020-10-11,15,27,19,38,10
2020-10-18,15,23,17,33,11
2020-10-25,14,23,13,33,12
2020-11-01,38,18,15,31,13
2020-11-08,31,21,15,32,13
2020-11-15,18,20,18,33,11
2020-11-22,19,19,17,35,11
2020-11-29,15,18,18,33,10
2020-12-06,15,21,16,33,12
2020-12-13,31,20,16,33,11
2020-12-20,21,20,12,26,14
2020-12-27,22,22,13,30,16
